Cell_Index,Assigned_c,Sum of Shape_Area,Area
86.0,HERB02,17.343918201,100.0
87.0,HERB01,71.739722419764,100.0
87.0,HERB02,28.2602775803,100.0
88.0,HERB01,99.99999999998899,100.0
89.0,HERB01,99.999999999993,100.0
90.0,HERB01,100.00000000006001,100.0
91.0,BARELAND01,1.234445807731,161.153621472
91.0,HERB01,159.91961463367,161.153621472
92.0,HERB02,126.88801873495001,153.629232093
92.0,WATER02,0.835113290167,153.629232093
92.0,HERB01,14.5199866631,153.629232093
92.0,HERB03,11.3857508897,153.629232093
93.0,HERB02,95.21477418878999,100.0
93.0,HERB01,2.76948191218,100.0
93.0,HERB03,2.01574389907,100.0
94.0,HERB02,40.315198730123,100.0
94.0,HERB01,59.684801269904,100.0
95.0,HERB02,34.65519731909034,100.0
95.0,HERB01,65.34480268085201,100.0
96.0,HERB01,91.059394250178,100.0
96.0,HERB02,8.94060574989,100.0
97.0,HERB01,97.79938858934801,100.0
97.0,HERB02,2.20061141065,100.0
98.0,HERB01,97.3196478900106,100.0
98.0,HERB02,2.68035211005,100.0
99.0,HERB02,0.515552098762,100.0
99.0,HERB01,99.48444790126499,100.0
100.0,HERB02,20.071480994399998,100.0
100.0,HERB01,79.92851900558259,100.0
101.0,HERB01,57.414447374864,100.0
101.0,HERB02,42.5855526251,100.0
102.0,HERB02,56.528256837609995,100.0
102.0,HERB01,43.471743162325005,100.0
103.0,HERB02,79.29013718171,100.0
103.0,HERB01,20.7098628183,100.0
104.0,HERB01,68.436628660033,100.0
104.0,HERB02,29.022908788777002,100.0
104.0,HERB03,2.54118437005,100.0
105.0,HERB01,97.12954562139001,100.0
105.0,HERB03,2.86973255987,100.0
106.0,HERB01,99.9999999999683,100.0
107.0,BARELAND01,9.54145479899,100.0
107.0,HERB01,90.45854520106,100.0
108.0,HERB01,75.70797357265499,100.0
108.0,BARELAND01,24.2920264273,100.0
109.0,HERB01,83.4565960904802,100.0
109.0,BARELAND01,16.5434039096,100.0
110.0,HERB01,93.43339977133701,100.0
110.0,BARELAND01,6.56660022868,100.0
111.0,HERB01,100.0,100.0
112.0,HERB01,97.20217943132201,100.0
112.0,BARELAND01,2.79782056872,100.0
113.0,HERB02,5.93515894362,162.598555612
113.0,HERB01,33.1272987185805,162.598555612
113.0,BARELAND01,123.53670656115,162.598555612
114.0,HERB02,113.69583888138999,161.334370465
114.0,HERB01,13.794267177709001,161.334370465
114.0,WATER02,33.843431192420006,161.334370465
115.0,HERB02,92.91862199073,100.0
115.0,HERB01,7.08137800926,100.0
116.0,HERB02,80.92809674516,100.0
116.0,HERB01,19.0719032548,100.0
117.0,HERB02,62.09695468993,100.0
117.0,HERB01,37.903045309997,100.0
118.0,HERB02,25.1626240913,100.0
118.0,HERB01,74.837375908665,100.0
119.0,HERB01,43.925991446307,100.0
119.0,HERB02,56.074008553733,100.0
120.0,HERB01,74.8108179197928,100.0
120.0,HERB02,25.18918208018,100.0
121.0,HERB01,93.50180785011001,100.0
121.0,HERB02,6.49819214994,100.0
122.0,HERB02,68.3582631671856,100.0
122.0,HERB01,31.641736832869,100.0
123.0,HERB02,99.99999999994,100.0
124.0,HERB01,5.59577493117,100.0
124.0,HERB02,94.40422506879801,100.0
125.0,HERB02,57.14607790011,100.0
125.0,HERB01,42.853922099849996,100.0
126.0,HERB02,55.93385171369,100.0
126.0,HERB01,44.0661482864329,100.0
127.0,HERB01,72.727272015088,100.0
127.0,HERB02,15.5316235827,100.0
127.0,HERB03,11.7426358497,100.0
128.0,HERB01,99.9984685526,100.0
129.0,HERB01,100.000000000033,100.0
130.0,BARELAND01,58.51949048092,100.0
130.0,HERB01,41.09864379912759,100.0
130.0,HERB02,0.381865720052,100.0
131.0,HERB01,75.41868953945,100.0
131.0,BARELAND01,24.58131046056,100.0
132.0,HERB01,100.00000000002,100.0
133.0,HERB01,99.999999999947,100.0
134.0,HERB01,100.00000000001,100.0
135.0,HERB01,82.023178456512,100.0
135.0,BARELAND01,17.9768215434,100.0
136.0,HERB01,113.07572464597702,164.043489752
136.0,HERB02,24.62343750438,164.043489752
136.0,HERB03,11.2287216365,164.043489752
