FID_4,FID_1,Count,Length,Area,Cell_Index,Mesh_Name,FID_SGHUAV,Assigned_c,Shape_Leng,Shape_Area
662,662.0,5.0,40.0,100.0,152.0,A2,951,BARELAND01,12.1860000044,3.20093293074
662,662.0,5.0,40.0,100.0,152.0,A2,952,HERB02,18.2535999939,6.67146935524
662,662.0,5.0,40.0,100.0,152.0,A2,988,BARELAND01,2.50879999995,0.202212060375
662,662.0,5.0,40.0,100.0,152.0,A2,989,HERB02,49.2326000035,68.0266266728
662,662.0,5.0,40.0,100.0,152.0,A2,1036,BARELAND01,18.0680000037,9.28295829366
663,663.0,5.0,40.0,100.0,153.0,A2,950,BARELAND01,22.0498000048,10.2613812159
663,663.0,5.0,40.0,100.0,153.0,A2,951,BARELAND01,46.6024000049,61.0888638657
663,663.0,5.0,40.0,100.0,153.0,A2,988,BARELAND01,30.2375999987,23.8134075465
663,663.0,5.0,40.0,100.0,153.0,A2,989,HERB02,2.56779999658,0.298821239109
663,663.0,5.0,40.0,100.0,153.0,A2,1035,BARELAND01,5.19840000011,0.464724220824
663,663.0,5.0,40.0,100.0,153.0,A2,1036,BARELAND01,18.7048000023,4.07280191194
664,664.0,5.0,40.0,100.0,154.0,A2,948,BARELAND01,20.9024,15.6067916779
664,664.0,5.0,40.0,100.0,154.0,A2,949,BARELAND01,15.3573999945,4.78362424431
664,664.0,5.0,40.0,100.0,154.0,A2,951,BARELAND01,20.1529999953,10.4578339079
664,664.0,5.0,40.0,100.0,154.0,A2,988,BARELAND01,7.51680000126,1.65051162044
664,664.0,5.0,40.0,100.0,154.0,A2,1035,BARELAND01,46.7121999972,67.5012385495
665,665.0,5.0,40.0,100.0,155.0,A2,946,BARELAND01,28.9417999983,24.4306092297
665,665.0,5.0,40.0,100.0,155.0,A2,947,BARELAND01,9.64980000071,2.07776776746
665,665.0,5.0,40.0,100.0,155.0,A2,948,BARELAND01,31.3249999974,21.2377285031
665,665.0,5.0,40.0,100.0,155.0,A2,987,HERB02,36.3324000053,28.0255899519
665,665.0,5.0,40.0,100.0,155.0,A2,1034,BARELAND01,8.61260000244,3.26907111216
665,665.0,5.0,40.0,100.0,155.0,A2,1035,BARELAND01,30.9846000019,20.9592334356
666,666.0,5.0,40.0,100.0,156.0,A2,908,BARELAND01,9.48779999465,1.28113159573
666,666.0,5.0,40.0,100.0,156.0,A2,945,BARELAND01,5.06039999425,0.53214219905
666,666.0,5.0,40.0,100.0,156.0,A2,946,BARELAND01,40.7367999908,50.0784503152
666,666.0,5.0,40.0,100.0,156.0,A2,947,BARELAND01,6.78700000234,1.70267484862
666,666.0,5.0,40.0,100.0,156.0,A2,986,BARELAND01,14.7375999968,6.32632264925
666,666.0,5.0,40.0,100.0,156.0,A2,987,HERB02,2.69320000149,0.1679885799
666,666.0,5.0,40.0,100.0,156.0,A2,1034,BARELAND01,36.5410000011,39.9112898123
667,667.0,5.0,40.0,100.0,157.0,A2,944,HERB02,28.5501999948,23.3890285468
667,667.0,5.0,40.0,100.0,157.0,A2,945,BARELAND01,12.1693999954,4.7296372757
667,667.0,5.0,40.0,100.0,157.0,A2,986,BARELAND01,41.548999995,26.7707164778
667,667.0,5.0,40.0,100.0,157.0,A2,1031,HERB02,31.6371999942,18.8758602576
667,667.0,5.0,40.0,100.0,157.0,A2,1033,BARELAND01,4.52600000054,0.209994841303
667,667.0,5.0,40.0,100.0,157.0,A2,1034,BARELAND01,25.4520000033,26.0247626007
668,668.0,5.0,40.0,100.0,158.0,A2,943,BARELAND01,6.4423999954,0.699053497865
668,668.0,5.0,40.0,100.0,158.0,A2,944,HERB02,26.753599992,14.9888985551
668,668.0,5.0,40.0,100.0,158.0,A2,985,BARELAND01,20.7569999956,15.6697424495
668,668.0,5.0,40.0,100.0,158.0,A2,1031,HERB02,43.3623999916,65.0853559352
668,668.0,5.0,40.0,100.0,158.0,A2,1032,BARELAND01,8.96320000105,3.55694956239
669,669.0,5.0,40.0,100.0,159.0,A2,985,BARELAND01,41.8306000028,51.1468829811
669,669.0,5.0,40.0,100.0,159.0,A2,1028,BARELAND01,28.0112000052,29.4677914367
669,669.0,5.0,40.0,100.0,159.0,A2,1030,BARELAND01,13.6854000036,5.60699880041
669,669.0,5.0,40.0,100.0,159.0,A2,1031,HERB02,12.1784000043,4.45952782813
669,669.0,5.0,40.0,100.0,159.0,A2,1032,BARELAND01,16.979800012,9.28500213379
678,678.0,6.0,45.6351753887,131.089376713,168.0,A2,852,BARELAND01,23.2266602695,19.4094783056
678,678.0,6.0,45.6351753887,131.089376713,168.0,A2,909,HERB02,18.2034000121,5.52217077115
